task,mouse,session,n_trials,n_punished,pct_punished,total_false_alarms,false_alarms_per_trial
AppetitveTaskReal,m102,2,61,49,80.32786885245902,248,4.065573770491803
AppetitveTaskReal,m102,3,61,37,60.65573770491803,168,2.7540983606557377
AppetitveTaskReal,m102,4,61,42,68.85245901639344,219,3.5901639344262297
AppetitveTaskReal,m102,5,61,34,55.73770491803279,129,2.1147540983606556
AppetitveTaskReal,m102,6,61,44,72.1311475409836,164,2.6885245901639343
AppetitveTaskReal,m102,7,61,38,62.295081967213115,141,2.3114754098360657
AppetitveTaskReal,m102,8,61,33,54.09836065573771,108,1.7704918032786885
AppetitveTaskReal,m102,9,61,48,78.68852459016394,323,5.295081967213115
AppetitveTaskReal,m102,10,61,40,65.57377049180327,221,3.622950819672131
AppetitveTaskReal,m102,11,61,49,80.32786885245902,373,6.114754098360656
AppetitveTaskReal,m103,1,61,36,59.01639344262295,118,1.9344262295081966
AppetitveTaskReal,m103,2,61,39,63.9344262295082,119,1.9508196721311475
AppetitveTaskReal,m103,3,61,47,77.04918032786885,129,2.1147540983606556
AppetitveTaskReal,m103,4,61,43,70.49180327868852,112,1.8360655737704918
AppetitveTaskReal,m103,5,61,40,65.57377049180327,104,1.7049180327868851
AppetitveTaskReal,m103,6,61,30,49.18032786885246,61,1.0
AppetitveTaskReal,m103,7,61,37,60.65573770491803,85,1.3934426229508197
AppetitveTaskReal,m103,8,61,33,54.09836065573771,74,1.2131147540983607
AppetitveTaskReal,m103,9,61,25,40.98360655737705,55,0.9016393442622951
AppetitveTaskReal,m103,10,61,28,45.90163934426229,57,0.9344262295081968
AppetitveTaskReal,m103,11,61,22,36.0655737704918,42,0.6885245901639344
AppetitveTaskReal,m103,12,61,48,78.68852459016394,175,2.8688524590163933
AppetitveTaskReal,m104,1,60,14,23.333333333333332,46,0.7666666666666667
AppetitveTaskReal,m104,2,60,37,61.666666666666664,127,2.1166666666666667
AppetitveTaskReal,m104,3,60,40,66.66666666666667,107,1.7833333333333334
AppetitveTaskReal,m104,4,60,31,51.666666666666664,136,2.2666666666666666
AppetitveTaskReal,m104,5,60,32,53.333333333333336,85,1.4166666666666667
AppetitveTaskReal,m104,6,60,33,55.0,92,1.5333333333333334
AppetitveTaskReal,m104,7,60,32,53.333333333333336,93,1.55
AppetitveTaskReal,m104,8,60,36,60.0,100,1.6666666666666667
AppetitveTaskReal,m104,9,60,38,63.333333333333336,100,1.6666666666666667
AppetitveTaskReal,m104,10,60,37,61.666666666666664,90,1.5
AppetitveTaskReal,m104,11,60,44,73.33333333333333,134,2.2333333333333334
AppetitveTaskReal,m104,12,60,41,68.33333333333333,100,1.6666666666666667
