task,mouse,hit_rate_first,hit_rate_last,hit_rate_diff
AppetitveTaskReal,m90,17.68,24.38,6.70
AppetitveTaskReal,m92,25.77,28.28,2.51
AppetitveTaskReal,m93,28.72,24.75,-3.97
AppetitveTaskReal,m97,29.66,28.93,-0.73
AppetitveTaskReal,m98,21.41,44.85,23.44
AppetitveTaskReal,m100,13.78,21.77,7.99
AppetitveTaskReal,m101,13.48,23.65,10.16
AppetitveTaskReal,m102,18.21,23.23,5.02
AppetitveTaskReal,m103,22.03,25.57,3.54
AppetitveTaskReal,m104,5.99,18.42,12.43
