task,mouse,session,n_trials,percent_no_response,percent_cue_poke_no_lick,percent_cue_poke_lick_no_reward,percent_complete_sequence_rewarded,percent_offcue_poke_only,percent_mixed_offcue_and_oncue,engagement_rate,lick_given_oncue_poke_rate,reward_given_oncue_poke_rate,reward_given_poke_and_lick_rate,median_cue_to_poke_latency,median_poke_to_lick_latency,median_lick_to_reward_latency
AppetitveTaskReal,m97,8,60,8.333,0.0,5.0,55.0,31.667,56.667,60.0,100.0,91.667,91.667,2.705,0.174,0.022
AppetitveTaskReal,m98,1,61,40.984,6.557,1.639,9.836,40.984,9.836,18.033,63.636,54.545,85.714,1.991,0.373,0.037
AppetitveTaskReal,m98,2,61,45.902,0.0,1.639,6.557,45.902,8.197,8.197,100.0,80.0,80.0,3.697,0.357,0.025
AppetitveTaskReal,m98,3,61,67.213,11.475,0.0,1.639,19.672,4.918,13.115,12.5,12.5,100.0,2.658,2.348,0.016
AppetitveTaskReal,m98,4,61,55.738,0.0,0.0,4.918,39.344,3.279,4.918,100.0,100.0,100.0,5.51,0.28,0.016
AppetitveTaskReal,m98,5,61,68.852,1.639,0.0,13.115,16.393,11.475,14.754,88.889,88.889,100.0,4.053,0.356,0.022
AppetitveTaskReal,m98,6,61,62.295,0.0,1.639,1.639,34.426,3.279,3.279,100.0,50.0,50.0,5.351,11.277,0.018
AppetitveTaskReal,m98,7,61,81.967,3.279,0.0,0.0,14.754,1.639,3.279,0.0,0.0,NaN,6.181,NaN,NaN
AppetitveTaskReal,m98,8,61,62.295,3.279,3.279,8.197,22.951,9.836,14.754,77.778,55.556,71.429,5.79,0.422,0.02
AppetitveTaskReal,m98,9,61,63.934,6.557,0.0,3.279,26.23,3.279,9.836,33.333,33.333,100.0,4.632,2.402,0.024
AppetitveTaskReal,m98,10,61,65.574,0.0,1.639,3.279,29.508,0.0,4.918,100.0,66.667,66.667,1.911,1.682,0.027
AppetitveTaskReal,m98,11,61,65.574,3.279,1.639,9.836,19.672,11.475,14.754,77.778,66.667,85.714,4.79,0.422,0.022
AppetitveTaskReal,m98,12,61,40.984,0.0,0.0,21.311,37.705,14.754,21.311,100.0,100.0,100.0,2.42,0.516,0.023
AppetitveTaskReal,m100,1,61,31.148,11.475,3.279,9.836,44.262,19.672,24.59,53.333,40.0,75.0,3.691,0.295,0.048
AppetitveTaskReal,m100,2,62,32.258,0.0,0.0,25.806,41.935,19.355,25.806,100.0,100.0,100.0,3.569,0.268,0.022
AppetitveTaskReal,m100,3,61,37.705,1.639,4.918,22.951,32.787,24.59,29.508,94.444,77.778,82.353,3.241,0.271,0.021
AppetitveTaskReal,m100,4,61,13.115,16.393,4.918,27.869,37.705,45.902,49.18,66.667,56.667,85.0,2.404,0.18,0.021
AppetitveTaskReal,m101,1,60,23.333,13.333,5.0,5.0,53.333,21.667,23.333,42.857,21.429,50.0,2.465,6.563,0.046
AppetitveTaskReal,m101,2,61,47.541,18.033,6.557,1.639,26.23,22.951,26.23,31.25,6.25,20.0,2.482,13.528,0.032
AppetitveTaskReal,m101,3,61,59.016,11.475,4.918,0.0,24.59,11.475,16.393,30.0,0.0,0.0,2.982,5.659,NaN
AppetitveTaskReal,m101,4,61,50.82,8.197,3.279,3.279,34.426,11.475,14.754,44.444,22.222,50.0,1.657,11.867,0.023
AppetitveTaskReal,m101,5,61,57.377,0.0,3.279,11.475,27.869,9.836,14.754,100.0,77.778,77.778,5.153,2.418,0.02
AppetitveTaskReal,m101,6,61,68.852,1.639,3.279,8.197,18.033,9.836,13.115,87.5,62.5,71.429,7.09,0.509,0.029
AppetitveTaskReal,m101,7,61,65.574,1.639,0.0,6.557,26.23,4.918,8.197,80.0,80.0,100.0,2.425,0.774,0.029
AppetitveTaskReal,m101,8,61,62.295,4.918,3.279,6.557,22.951,11.475,14.754,66.667,44.444,66.667,5.296,2.968,0.02
AppetitveTaskReal,m101,9,61,52.459,6.557,1.639,13.115,26.23,13.115,21.311,69.231,61.538,88.889,4.157,0.608,0.023
AppetitveTaskReal,m101,10,61,45.902,3.279,4.918,6.557,39.344,11.475,14.754,77.778,44.444,57.143,2.555,0.8,0.023
AppetitveTaskReal,m101,11,60,48.333,5.0,1.667,3.333,41.667,3.333,10.0,50.0,33.333,66.667,1.774,1.637,0.025
AppetitveTaskReal,m101,12,61,31.148,1.639,1.639,29.508,36.066,29.508,32.787,95.0,90.0,94.737,3.868,0.304,0.022
AppetitveTaskReal,m102,1,61,18.033,0.0,4.918,34.426,42.623,39.344,39.344,100.0,87.5,87.5,2.981,0.28,0.022
AppetitveTaskReal,m102,2,61,19.672,0.0,1.639,39.344,39.344,40.984,40.984,100.0,96.0,96.0,2.121,0.188,0.022
AppetitveTaskReal,m102,3,61,37.705,0.0,0.0,21.311,40.984,19.672,21.311,100.0,100.0,100.0,2.249,0.239,0.022
AppetitveTaskReal,m102,4,61,31.148,0.0,0.0,32.787,36.066,32.787,32.787,100.0,100.0,100.0,2.237,0.189,0.023
AppetitveTaskReal,m102,5,61,37.705,0.0,0.0,32.787,29.508,32.787,32.787,100.0,100.0,100.0,2.283,0.196,0.022
AppetitveTaskReal,m102,6,61,24.59,0.0,4.918,36.066,34.426,39.344,40.984,100.0,88.0,88.0,2.674,0.222,0.023
AppetitveTaskReal,m102,7,61,34.426,0.0,1.639,40.984,22.951,39.344,42.623,100.0,96.154,96.154,2.154,0.267,0.023
AppetitveTaskReal,m102,8,61,42.623,0.0,6.557,22.951,27.869,26.23,29.508,100.0,77.778,77.778,3.291,0.2,0.023
AppetitveTaskReal,m102,9,61,19.672,0.0,6.557,50.82,22.951,55.738,57.377,100.0,88.571,88.571,1.562,0.186,0.023
AppetitveTaskReal,m102,10,61,29.508,3.279,3.279,31.148,32.787,34.426,37.705,91.304,82.609,90.476,1.144,0.193,0.023
