task,mouse,session,engagement,competence,hit_rate,bout_coverage,latency,offcue,win_stay
AppetitveTaskReal,m93,8,20.000,91.667,18.333,0.000,4.551,1.267,-0.568
AppetitveTaskReal,m93,9,19.048,91.667,17.460,6.349,4.016,1.254,20.677
AppetitveTaskReal,m93,10,15.000,100.000,15.000,0.000,1.401,1.150,-4.889
AppetitveTaskReal,m93,11,16.667,90.000,15.000,0.000,4.796,0.833,8.222
AppetitveTaskReal,m93,12,13.333,75.000,10.000,0.000,6.508,0.533,3.459
AppetitveTaskReal,m97,1,25.000,80.000,20.000,0.000,5.217,1.317,-10.993
AppetitveTaskReal,m97,2,41.667,88.000,36.667,0.000,2.959,2.400,-2.334
AppetitveTaskReal,m97,3,43.333,96.154,41.667,20.000,3.665,2.450,27.647
AppetitveTaskReal,m97,4,43.333,80.769,36.667,20.000,1.806,2.333,23.956
AppetitveTaskReal,m97,5,41.667,100.000,41.667,8.333,1.402,3.267,2.824
AppetitveTaskReal,m97,6,51.667,100.000,53.333,13.333,1.586,3.483,-26.042
AppetitveTaskReal,m97,7,46.667,100.000,46.667,15.000,0.712,2.733,4.839
AppetitveTaskReal,m97,8,60.000,91.667,55.000,30.000,2.705,3.433,9.790
AppetitveTaskReal,m98,1,18.033,54.545,9.836,0.000,1.991,1.344,16.667
AppetitveTaskReal,m98,2,8.197,80.000,6.557,0.000,3.697,1.328,17.857
AppetitveTaskReal,m98,3,13.115,12.500,1.639,0.000,2.658,0.361,-13.559
AppetitveTaskReal,m98,4,4.918,100.000,4.918,0.000,5.510,0.885,29.825
AppetitveTaskReal,m98,5,14.754,88.889,13.115,0.000,4.053,0.475,11.538
AppetitveTaskReal,m98,6,3.279,50.000,1.639,0.000,5.351,0.672,-3.390
AppetitveTaskReal,m98,7,3.279,0.000,0.000,0.000,6.181,0.262,
AppetitveTaskReal,m98,8,14.754,55.556,8.197,0.000,5.790,0.426,5.455
AppetitveTaskReal,m98,9,9.836,33.333,3.279,0.000,4.632,0.541,41.379
AppetitveTaskReal,m98,10,4.918,66.667,3.279,0.000,1.911,0.590,-5.172
AppetitveTaskReal,m98,11,14.754,66.667,9.836,0.000,4.790,0.639,1.852
AppetitveTaskReal,m98,12,21.311,100.000,21.311,0.000,2.420,0.836,1.800
AppetitveTaskReal,m100,1,24.590,40.000,11.475,0.000,3.691,2.656,9.259
AppetitveTaskReal,m100,2,25.806,100.000,27.419,6.452,3.569,1.645,6.684
AppetitveTaskReal,m100,3,29.508,77.778,22.951,6.557,3.241,1.508,16.770
AppetitveTaskReal,m100,4,49.180,56.667,27.869,13.115,2.404,4.623,4.104
AppetitveTaskReal,m101,1,23.333,21.429,5.000,0.000,2.465,1.800,-24.561
AppetitveTaskReal,m101,2,26.230,6.250,1.639,0.000,2.482,1.082,76.271
AppetitveTaskReal,m101,3,16.393,0.000,0.000,0.000,2.982,0.672,
AppetitveTaskReal,m101,4,14.754,22.222,3.279,0.000,1.657,1.328,36.207
AppetitveTaskReal,m101,5,14.754,77.778,11.475,0.000,5.153,0.770,31.536
AppetitveTaskReal,m101,6,13.115,62.500,8.197,0.000,7.090,0.459,7.273
AppetitveTaskReal,m101,7,8.197,80.000,6.557,0.000,2.425,0.689,-8.929
AppetitveTaskReal,m101,8,14.754,44.444,6.557,0.000,5.296,0.918,12.500
AppetitveTaskReal,m101,9,21.311,61.538,13.115,0.000,4.157,1.115,3.846
AppetitveTaskReal,m101,10,14.754,44.444,6.557,0.000,2.555,1.016,10.714
AppetitveTaskReal,m101,11,10.000,33.333,3.333,0.000,1.774,1.000,-10.526
AppetitveTaskReal,m101,12,32.787,90.000,29.508,6.557,3.868,2.475,23.810
AppetitveTaskReal,m102,1,39.344,87.500,34.426,9.836,2.981,4.557,11.722
AppetitveTaskReal,m102,2,40.984,96.000,39.344,9.836,2.121,4.393,6.944
AppetitveTaskReal,m102,3,21.311,100.000,21.311,0.000,2.249,2.803,1.800
AppetitveTaskReal,m102,4,32.787,100.000,32.787,8.197,2.237,3.639,27.500
AppetitveTaskReal,m102,5,32.787,100.000,32.787,8.197,2.283,2.393,17.500
AppetitveTaskReal,m102,6,40.984,88.000,36.066,14.754,2.674,2.820,27.512
AppetitveTaskReal,m102,7,42.623,96.154,40.984,19.672,2.154,2.410,4.000
AppetitveTaskReal,m102,8,29.508,77.778,22.951,0.000,3.291,1.869,-1.863
AppetitveTaskReal,m102,9,57.377,88.571,50.820,40.984,1.562,5.607,26.140
AppetitveTaskReal,m102,10,37.705,82.609,31.148,13.115,1.144,3.754,31.065
AppetitveTaskReal,m102,11,52.459,62.500,32.787,32.787,1.449,6.377,10.000
AppetitveTaskReal,m103,1,26.230,68.750,18.033,0.000,2.878,2.066,0.742
AppetitveTaskReal,m103,2,26.230,81.250,21.311,0.000,2.426,2.016,-4.583
AppetitveTaskReal,m103,3,26.230,87.500,22.951,0.000,2.658,2.180,4.658
AppetitveTaskReal,m103,4,29.508,66.667,19.672,6.557,4.960,1.885,-6.250
AppetitveTaskReal,m103,5,34.426,90.476,31.148,0.000,2.855,1.754,-17.972
AppetitveTaskReal,m103,6,16.393,90.000,14.754,0.000,1.860,1.033,6.536
AppetitveTaskReal,m103,7,31.148,36.842,11.475,0.000,3.425,1.393,-17.790
AppetitveTaskReal,m103,8,18.033,72.727,13.115,0.000,3.661,1.230,-4.808
AppetitveTaskReal,m103,9,22.951,78.571,18.033,6.557,3.226,0.934,17.996
AppetitveTaskReal,m103,10,14.754,88.889,13.115,0.000,3.833,0.951,-2.885
AppetitveTaskReal,m103,11,14.754,44.444,6.557,0.000,2.310,0.689,-16.071
AppetitveTaskReal,m103,12,44.262,81.481,36.066,8.197,4.575,3.000,-11.005
AppetitveTaskReal,m104,1,8.333,40.000,3.333,0.000,1.674,0.800,-8.772
AppetitveTaskReal,m104,2,33.333,80.000,26.667,0.000,3.560,2.217,7.267
AppetitveTaskReal,m104,3,21.667,69.231,15.000,0.000,5.620,1.833,0.222
AppetitveTaskReal,m104,4,23.333,78.571,18.333,0.000,4.205,2.350,26.705
AppetitveTaskReal,m104,5,20.000,91.667,20.000,0.000,4.951,1.567,-15.071
AppetitveTaskReal,m104,6,11.667,42.857,5.000,0.000,5.351,1.567,-12.500
AppetitveTaskReal,m104,7,18.333,81.818,15.000,0.000,4.708,1.583,4.222
AppetitveTaskReal,m104,8,13.333,62.500,8.333,0.000,3.666,1.750,28.889
AppetitveTaskReal,m104,9,25.000,20.000,5.000,6.667,4.346,1.700,-25.000
AppetitveTaskReal,m104,10,33.333,65.000,21.667,15.000,4.185,1.633,25.585
AppetitveTaskReal,m104,11,35.000,80.952,28.333,8.333,4.102,2.317,18.487
AppetitveTaskReal,m104,12,25.000,46.667,11.667,0.000,4.228,1.683,-28.846
