task,mouse,session,n_trials,n_engaged,n_rewarded,hit_rate,engagement_rate,accuracy_when_engaged,offcue_pokes,offcue_pokes_per_trial,cue_to_poke_latency_median,poke_to_lick_latency_median
AppetitveTaskReal,m101,5,61,9,7,11.475,14.754,77.778,47,0.77,5.153,2.418
AppetitveTaskReal,m101,6,61,8,5,8.197,13.115,62.5,28,0.459,7.09,0.509
AppetitveTaskReal,m101,7,61,5,4,6.557,8.197,80.0,42,0.689,2.425,0.774
AppetitveTaskReal,m101,8,61,9,4,6.557,14.754,44.444,56,0.918,5.296,2.968
AppetitveTaskReal,m101,9,61,13,8,13.115,21.311,61.538,68,1.115,4.157,0.608
AppetitveTaskReal,m101,10,61,9,4,6.557,14.754,44.444,62,1.016,2.555,0.8
AppetitveTaskReal,m101,11,60,6,2,3.333,10.0,33.333,60,1.0,1.774,1.637
AppetitveTaskReal,m101,12,61,20,18,29.508,32.787,90.0,151,2.475,3.868,0.304
AppetitveTaskReal,m102,1,61,24,21,34.426,39.344,87.5,278,4.557,2.981,0.28
AppetitveTaskReal,m102,2,61,25,24,39.344,40.984,96.0,268,4.393,2.121,0.188
AppetitveTaskReal,m102,3,61,13,13,21.311,21.311,100.0,171,2.803,2.249,0.239
AppetitveTaskReal,m102,4,61,20,20,32.787,32.787,100.0,222,3.639,2.237,0.189
AppetitveTaskReal,m102,5,61,20,20,32.787,32.787,100.0,146,2.393,2.283,0.196
AppetitveTaskReal,m102,6,61,25,22,36.066,40.984,88.0,172,2.82,2.674,0.222
AppetitveTaskReal,m102,7,61,26,25,40.984,42.623,96.154,147,2.41,2.154,0.267
AppetitveTaskReal,m102,8,61,18,14,22.951,29.508,77.778,114,1.869,3.291,0.2
AppetitveTaskReal,m102,9,61,35,31,50.82,57.377,88.571,342,5.607,1.562,0.186
AppetitveTaskReal,m102,10,61,23,19,31.148,37.705,82.609,229,3.754,1.144,0.193
AppetitveTaskReal,m102,11,61,32,20,32.787,52.459,62.5,389,6.377,1.449,0.221
AppetitveTaskReal,m103,1,61,16,11,18.033,26.23,68.75,126,2.066,2.878,0.622
AppetitveTaskReal,m103,2,61,16,13,21.311,26.23,81.25,123,2.016,2.426,1.622
AppetitveTaskReal,m103,3,61,16,14,22.951,26.23,87.5,133,2.18,2.658,0.276
AppetitveTaskReal,m103,4,61,18,12,19.672,29.508,66.667,115,1.885,4.96,0.324
AppetitveTaskReal,m103,5,61,21,19,31.148,34.426,90.476,107,1.754,2.855,0.187
AppetitveTaskReal,m103,6,61,10,9,14.754,16.393,90.0,63,1.033,1.86,0.282
AppetitveTaskReal,m103,7,61,19,7,11.475,31.148,36.842,85,1.393,3.425,5.248
AppetitveTaskReal,m103,8,61,11,8,13.115,18.033,72.727,75,1.23,3.661,0.194
AppetitveTaskReal,m103,9,61,14,11,18.033,22.951,78.571,57,0.934,3.226,0.233
AppetitveTaskReal,m103,10,61,9,8,13.115,14.754,88.889,58,0.951,3.833,0.317
AppetitveTaskReal,m103,11,61,9,4,6.557,14.754,44.444,42,0.689,2.31,0.352
AppetitveTaskReal,m103,12,61,27,22,36.066,44.262,81.481,183,3.0,4.575,0.155
AppetitveTaskReal,m104,1,60,5,2,3.333,8.333,40.0,48,0.8,1.674,5.513
