mouse,session,session_date,total_trials,participated_trials,participation_rate,hits,misses,no_responses,hit_rate,miss_rate,false_alarm_rate,correct_rejection_rate,reward_rate,punishment_rate,n_false_alarms_total,mean_latency,median_latency,mean_activity_level,performance_score,crossed_criterion
m100,1,2025-11-10,61,15,24.59016393442623,6,9,46,9.836065573770492,14.754098360655737,62.295081967213115,37.704918032786885,9.836065573770492,62.295081967213115,156,3.810120709737142,3.691141128540039,9.21311475409836,40.0,False
m100,2,2025-11-11,61,16,26.229508196721312,16,0,45,26.229508196721312,0.0,57.377049180327866,42.622950819672134,26.229508196721312,57.377049180327866,96,3.5704871863126755,3.5689815282821655,12.573770491803279,100.0,True
m100,3,2025-11-12,61,19,31.147540983606557,16,3,42,26.229508196721312,4.918032786885246,60.65573770491803,39.34426229508197,26.229508196721312,60.65573770491803,141,3.302147576683446,2.9130451679229736,19.049180327868854,84.21052631578948,True
m100,4,2025-11-13,61,22,36.0655737704918,20,2,39,32.78688524590164,3.278688524590164,85.24590163934427,14.754098360655737,32.78688524590164,85.24590163934427,165,2.9940683516589077,2.3379870653152466,24.327868852459016,90.9090909090909,True
m100,5,2025-11-17,61,10,16.39344262295082,8,2,51,13.114754098360656,3.278688524590164,40.98360655737705,59.01639344262295,13.114754098360656,40.98360655737705,61,3.3071570873260496,3.2547444105148315,6.704918032786885,80.0,True
m100,6,2025-11-19,61,25,40.98360655737705,23,2,36,37.704918032786885,3.278688524590164,68.85245901639344,31.147540983606557,37.704918032786885,68.85245901639344,161,3.551588230133057,2.9265589714050293,19.737704918032787,92.0,True
m100,7,2025-11-23,62,25,40.32258064516129,22,3,37,35.483870967741936,4.838709677419355,77.41935483870968,22.580645161290324,35.483870967741936,77.41935483870968,157,3.6101218163967133,2.8131814002990723,15.258064516129032,88.0,True
m100,8,2025-11-25,61,23,37.704918032786885,17,6,38,27.868852459016395,9.836065573770492,54.09836065573771,45.90163934426229,27.868852459016395,54.09836065573771,82,3.2539458171181055,2.6595699787139893,6.360655737704918,73.91304347826087,True
m100,9,2025-12-01,61,22,36.0655737704918,5,17,39,8.19672131147541,27.868852459016395,45.90163934426229,54.09836065573771,8.19672131147541,45.90163934426229,58,4.31632679158991,4.629369497299194,2.6065573770491803,22.727272727272727,False
m100,10,2025-12-03,61,36,59.01639344262295,30,6,25,49.18032786885246,9.836065573770492,85.24590163934427,14.754098360655737,49.18032786885246,85.24590163934427,228,3.675344321462843,3.652524948120117,29.34426229508197,83.33333333333333,True
m100,11,2025-12-08,61,18,29.508196721311474,14,4,43,22.950819672131146,6.557377049180328,52.459016393442624,47.540983606557376,22.950819672131146,52.459016393442624,87,3.3411572774251304,3.2409260272979736,9.98360655737705,77.77777777777777,True
m100,12,2025-12-15,61,30,49.18032786885246,17,13,31,27.868852459016395,21.311475409836067,85.24590163934427,14.754098360655737,27.868852459016395,85.24590163934427,252,2.8318475246429444,2.403899073600769,21.229508196721312,56.666666666666664,False
m101,1,2025-11-10,60,14,23.333333333333332,3,11,46,5.0,18.333333333333332,75.0,25.0,5.0,75.0,108,2.6329138449260165,2.464572548866272,5.016666666666667,21.428571428571427,False
m101,2,2025-11-12,61,16,26.229508196721312,1,15,45,1.639344262295082,24.59016393442623,49.18032786885246,50.81967213114754,1.639344262295082,49.18032786885246,65,3.4621139615774155,2.482035994529724,3.0491803278688523,6.25,False
m101,3,2025-11-13,61,10,16.39344262295082,0,10,51,0.0,16.39344262295082,39.34426229508197,60.65573770491803,0.0,39.34426229508197,42,3.051170325279236,2.981616497039795,1.9344262295081966,0.0,False
m101,4,2025-11-16,61,9,14.754098360655737,2,7,52,3.278688524590164,11.475409836065573,45.90163934426229,54.09836065573771,3.278688524590164,45.90163934426229,81,2.606535699632433,1.656952142715454,4.721311475409836,22.22222222222222,False
m101,5,2025-11-18,61,9,14.754098360655737,7,2,52,11.475409836065573,3.278688524590164,37.704918032786885,62.295081967213115,11.475409836065573,37.704918032786885,47,3.752406226264106,5.153259038925171,6.950819672131147,77.77777777777777,True
m101,6,2025-11-19,61,8,13.114754098360656,5,3,53,8.19672131147541,4.918032786885246,26.229508196721312,73.77049180327869,8.19672131147541,26.229508196721312,27,5.692468672990799,7.089912056922913,2.5245901639344264,62.5,False
m101,7,2025-11-23,62,6,9.67741935483871,5,1,56,8.064516129032258,1.6129032258064515,30.64516129032258,69.35483870967742,8.064516129032258,30.64516129032258,42,2.830866003036499,2.4249579906463623,5.741935483870968,83.33333333333333,False
m101,8,2025-11-25,61,9,14.754098360655737,4,5,52,6.557377049180328,8.19672131147541,36.0655737704918,63.9344262295082,6.557377049180328,36.0655737704918,56,4.638785441716512,5.2957539558410645,4.377049180327869,44.44444444444444,False
m101,9,2025-12-02,61,13,21.311475409836067,8,5,48,13.114754098360656,8.19672131147541,39.34426229508197,60.65573770491803,13.114754098360656,39.34426229508197,64,3.614183389223539,4.156930923461914,7.918032786885246,61.53846153846154,False
m101,10,2025-12-03,61,9,14.754098360655737,4,5,52,6.557377049180328,8.19672131147541,50.81967213114754,49.18032786885246,6.557377049180328,50.81967213114754,61,3.330789645512899,2.555180072784424,5.704918032786885,44.44444444444444,False
m101,11,2025-12-08,60,6,10.0,2,4,54,3.3333333333333335,6.666666666666667,45.0,55.0,3.3333333333333335,45.0,61,2.1756433645884194,1.7743935585021973,4.016666666666667,33.333333333333336,False
m101,12,2025-12-15,61,20,32.78688524590164,18,2,41,29.508196721311474,3.278688524590164,65.57377049180327,34.42622950819672,29.508196721311474,65.57377049180327,146,3.9553728342056274,3.8680399656295776,14.344262295081966,90.0,True
m102,1,2025-11-10,61,24,39.34426229508197,21,3,37,34.42622950819672,4.918032786885246,81.9672131147541,18.0327868852459,34.42622950819672,81.9672131147541,269,3.3009787599245706,2.980920433998108,26.770491803278688,87.5,True
m102,2,2025-11-12,61,25,40.98360655737705,24,1,36,39.34426229508197,1.639344262295082,80.32786885245902,19.672131147540984,39.34426229508197,80.32786885245902,248,3.211630592346191,2.1206040382385254,31.327868852459016,96.0,True
