task,mouse,n_trials,pokes_first_half,pokes_second_half,licks_first_half,licks_second_half
AppetitveTaskReal,m90,711,0.5668073136427566,0.7229254571026722,2.8607594936708862,4.075949367088608
AppetitveTaskReal,m92,612,0.28431372549019607,0.369281045751634,1.4738562091503267,2.052287581699346
AppetitveTaskReal,m93,653,0.333843797856049,0.40428790199081166,1.6692189892802451,2.398162327718224
AppetitveTaskReal,m97,451,1.0155210643015522,1.3636363636363638,4.600886917960089,6.933481152993348
AppetitveTaskReal,m98,675,0.16740740740740742,0.19999999999999998,0.7762962962962963,1.1422222222222222
AppetitveTaskReal,m100,222,1.0360360360360361,1.2657657657657657,3.468468468468469,3.7657657657657664
AppetitveTaskReal,m101,673,0.337295690936107,0.3967310549777117,0.9093610698365527,1.1961367013372957
AppetitveTaskReal,m102,641,1.6630265210608426,1.7566302652106085,5.5507020280811235,5.93603744149766
AppetitveTaskReal,m103,670,0.5626865671641791,0.6074626865671642,2.343283582089552,3.125373134328358
AppetitveTaskReal,m104,663,0.7481146304675717,0.5686274509803921,2.542986425339366,1.9728506787330318
Generalization,m90,232,1.5344827586206897,1.9439655172413794,5.607758620689656,7.280172413793103
Generalization,m92,229,0.6986899563318778,1.0043668122270741,3.8296943231441047,5.860262008733624
Generalization,m93,228,0.8859649122807017,1.0657894736842106,3.0877192982456143,4.618421052631579
Generalization,m97,233,0.7339055793991416,1.2918454935622319,2.8197424892703857,5.454935622317596
Generalization,m98,232,1.146551724137931,1.3017241379310345,4.25,5.7155172413793105
Generalization,m100,234,1.47008547008547,1.799145299145299,5.414529914529915,6.534188034188034
Generalization,m101,231,1.2337662337662338,1.528138528138528,5.645021645021645,6.35064935064935
Generalization,m102,234,3.7735042735042734,4.196581196581197,7.213675213675215,8.021367521367523
Generalization,m103,232,1.2456896551724137,1.6163793103448274,4.568965517241379,6.116379310344827
Generalization,m104,228,1.144736842105263,1.5219298245614035,3.3991228070175437,4.855263157894736
