task,mouse,session,n_trials,n_hit_licks,n_fa_licks,trial_engagement,engaged,n_oncue_lick_rew,n_oncue_lick_norew,oncue_reward_rate,n_catch,catch_rate,accuracy_when_engaged
AppetitveTaskReal,m101,7,61,46,262,14.94,no,31,0,100.00,0,0.00,80.0
AppetitveTaskReal,m101,8,61,32,168,16.00,no,22,0,100.00,0,0.00,44.4
AppetitveTaskReal,m101,9,61,64,336,16.00,no,47,0,100.00,0,0.00,61.5
AppetitveTaskReal,m101,10,61,48,228,17.39,no,23,0,100.00,0,0.00,44.4
AppetitveTaskReal,m101,11,60,16,158,9.20,no,16,0,100.00,0,0.00,33.3
AppetitveTaskReal,m101,12,61,166,536,23.65,no,100,0,100.00,0,0.00,90.0
AppetitveTaskReal,m102,1,61,240,1078,18.21,no,178,10,94.68,2,3.28,87.5
AppetitveTaskReal,m102,2,61,398,1208,24.78,no,255,4,98.46,1,1.64,96.0
AppetitveTaskReal,m102,3,61,174,742,19.00,no,142,0,100.00,0,0.00,100.0
AppetitveTaskReal,m102,4,61,244,822,22.89,no,212,0,100.00,0,0.00,100.0
AppetitveTaskReal,m102,5,61,292,589,33.14,yes,192,0,100.00,0,0.00,100.0
AppetitveTaskReal,m102,6,61,276,696,28.40,yes,220,4,98.21,1,1.64,88.0
AppetitveTaskReal,m102,7,61,258,394,39.57,yes,242,11,95.65,1,1.64,96.2
AppetitveTaskReal,m102,8,61,186,450,29.25,yes,148,6,96.10,2,3.28,77.8
AppetitveTaskReal,m102,9,61,306,854,26.38,yes,272,16,94.44,2,3.28,88.6
AppetitveTaskReal,m102,10,61,210,666,23.97,no,185,4,97.88,1,1.64,82.6
AppetitveTaskReal,m102,11,61,190,628,23.23,no,132,2,98.51,1,1.64,62.5
AppetitveTaskReal,m103,1,61,152,538,22.03,no,94,6,94.00,1,1.64,68.8
AppetitveTaskReal,m103,2,61,202,648,23.76,no,112,0,100.00,0,0.00,81.2
AppetitveTaskReal,m103,3,61,238,860,21.68,no,116,0,100.00,0,0.00,87.5
AppetitveTaskReal,m103,4,61,142,278,33.81,yes,103,4,96.26,2,3.28,66.7
AppetitveTaskReal,m103,5,61,310,812,27.63,yes,206,2,99.04,1,1.64,90.5
AppetitveTaskReal,m103,6,61,118,362,24.58,no,100,4,96.15,1,1.64,90.0
AppetitveTaskReal,m103,7,61,88,242,26.67,yes,69,0,100.00,2,3.28,36.8
AppetitveTaskReal,m103,8,61,116,292,28.43,yes,87,0,100.00,0,0.00,72.7
AppetitveTaskReal,m103,9,61,136,308,30.63,yes,99,4,96.12,1,1.64,78.6
AppetitveTaskReal,m103,10,61,60,166,26.55,yes,50,0,100.00,0,0.00,88.9
AppetitveTaskReal,m103,11,61,42,106,28.38,yes,34,0,100.00,0,0.00,44.4
AppetitveTaskReal,m103,12,61,292,850,25.57,no,242,24,90.98,5,8.20,81.5
AppetitveTaskReal,m104,1,60,26,408,5.99,no,6,58,9.38,1,1.67,40.0
AppetitveTaskReal,m104,2,60,216,600,26.47,yes,140,8,94.59,1,1.67,80.0
AppetitveTaskReal,m104,3,60,48,260,15.58,no,34,0,100.00,0,0.00,69.2
AppetitveTaskReal,m104,4,60,160,444,26.49,yes,68,2,97.14,0,0.00,78.6
AppetitveTaskReal,m104,5,60,172,470,26.79,yes,92,0,100.00,0,0.00,91.7
AppetitveTaskReal,m104,6,60,32,222,12.60,no,26,0,100.00,0,0.00,42.9
AppetitveTaskReal,m104,7,60,66,278,19.19,no,56,0,100.00,1,1.67,81.8
AppetitveTaskReal,m104,8,60,98,272,26.49,yes,58,0,100.00,0,0.00,62.5
AppetitveTaskReal,m104,9,60,38,164,18.81,no,30,4,88.24,1,1.67,20.0
AppetitveTaskReal,m104,10,60,142,294,32.57,yes,103,12,89.57,2,3.33,65.0
AppetitveTaskReal,m104,11,60,278,580,32.40,yes,198,8,96.12,1,1.67,81.0
AppetitveTaskReal,m104,12,60,28,124,18.42,no,24,2,92.31,0,0.00,46.7
Generalization,m90,1,61,268,402,40.00,yes,21,2,91.30,3,4.92,77.8
Generalization,m90,2,60,556,1104,33.49,no,40,2,95.24,2,3.33,95.3
Generalization,m90,3,61,561,969,36.67,no,42,8,84.00,8,13.11,82.4
Generalization,m90,4,61,535,610,46.72,yes,47,5,90.38,5,8.20,90.4
Generalization,m92,1,61,70,396,15.02,no,6,0,100.00,0,0.00,85.7
Generalization,m92,2,60,306,784,28.07,no,17,1,94.44,1,1.67,94.7
Generalization,m92,3,61,616,808,43.26,yes,30,4,88.24,4,6.56,88.9
Generalization,m92,4,61,535,730,42.29,yes,43,3,93.48,3,4.92,93.5
Generalization,m93,1,61,336,584,36.52,no,22,2,91.67,3,4.92,88.9
Generalization,m93,2,60,302,566,34.79,no,20,1,95.24,1,1.67,95.7
Generalization,m93,3,61,550,612,47.33,yes,42,0,100.00,0,0.00,100.0
Generalization,m93,4,61,590,422,58.30,yes,48,5,90.57,5,8.20,90.4
Generalization,m97,1,61,334,866,27.83,no,24,5,82.76,4,6.56,83.3
Generalization,m97,2,60,461,950,32.67,no,37,2,94.87,2,3.33,90.2
Generalization,m97,3,61,220,116,65.48,yes,22,1,95.65,1,1.64,88.0
Generalization,m97,4,61,408,280,59.30,yes,38,5,88.37,5,8.20,86.0
Generalization,m98,1,61,566,964,36.99,no,31,3,91.18,3,4.92,88.6
Generalization,m98,2,61,327,386,45.86,yes,28,1,96.55,1,1.64,87.5
Generalization,m98,3,61,460,846,35.22,no,43,3,93.48,3,4.92,93.2
Generalization,m98,4,60,378,487,43.70,yes,29,0,100.00,0,0.00,100.0
Generalization,m100,1,61,454,798,36.26,no,36,10,78.26,4,6.56,85.7
Generalization,m100,2,60,420,731,36.49,no,32,2,94.12,2,3.33,70.5
Generalization,m100,3,61,602,1004,37.48,no,49,4,92.45,4,6.56,92.3
Generalization,m100,4,61,514,424,54.80,yes,44,3,93.62,3,4.92,91.7
Generalization,m101,1,61,158,452,25.90,no,12,1,92.31,1,1.64,85.7
Generalization,m101,2,60,396,942,29.60,no,23,10,69.70,5,8.33,82.1
Generalization,m101,3,61,628,982,39.01,yes,37,3,92.50,3,4.92,90.2
Generalization,m101,4,61,424,684,38.27,no,31,2,93.94,2,3.28,91.2
Generalization,m102,1,61,296,504,37.00,no,35,3,92.11,3,4.92,85.7
Generalization,m102,2,60,592,1350,30.48,no,50,2,96.15,2,3.33,94.3
Generalization,m102,3,61,712,1583,31.02,no,56,0,100.00,0,0.00,100.0
Generalization,m102,4,61,492,106,82.27,yes,54,4,93.10,4,6.56,93.2
Generalization,m103,1,61,544,1334,28.97,no,38,2,95.00,2,3.28,95.0
Generalization,m103,2,61,502,794,38.73,yes,42,7,85.71,7,11.48,85.7
Generalization,m103,3,61,420,282,59.83,yes,36,5,87.80,5,8.20,85.7
Generalization,m103,4,61,402,320,55.68,yes,43,23,65.15,3,4.92,88.9
Generalization,m104,1,61,544,644,45.79,yes,38,2,95.00,2,3.28,95.1
Generalization,m104,2,61,526,786,40.09,yes,39,3,92.86,3,4.92,88.9
Generalization,m104,3,61,298,224,57.09,yes,29,1,96.67,1,1.64,93.3
Generalization,m104,4,61,410,380,51.90,yes,45,4,91.84,4,6.56,88.1
