task,mouse,session,n_trials,on_pokes,off_pokes,on_licks,off_licks,mean_oncue_share,poke_oncue_share,lick_oncue_share,on_off_ratio
AppetitveTaskReal,m90,1,60,24,124,70,924,9.980429715050978,16.216216216216218,7.042253521126761,0.08969465648854962
AppetitveTaskReal,m90,2,60,25,111,203,630,21.7453310107142,18.38235294117647,24.369747899159663,0.3076923076923077
AppetitveTaskReal,m90,3,60,16,52,110,211,26.805375996552467,23.529411764705884,34.26791277258567,0.4790874524714829
AppetitveTaskReal,m90,4,60,8,34,68,206,17.32894302234632,19.047619047619047,24.817518248175183,0.31666666666666665
AppetitveTaskReal,m90,5,60,14,59,108,304,22.47365619559892,19.17808219178082,26.21359223300971,0.33608815426997246
AppetitveTaskReal,m90,6,60,23,170,234,1076,18.216773719839757,11.917098445595855,17.862595419847327,0.20626003210272872
AppetitveTaskReal,m90,7,60,33,201,246,1090,18.480750735560243,14.102564102564102,18.41317365269461,0.2161115414407436
AppetitveTaskReal,m90,8,60,22,85,178,404,29.64702980333811,20.560747663551403,30.584192439862544,0.40899795501022496
AppetitveTaskReal,m90,9,60,20,62,166,340,30.506593014853895,24.390243902439025,32.80632411067194,0.4626865671641791
AppetitveTaskReal,m90,10,60,27,152,272,792,20.670921435089056,15.083798882681565,25.56390977443609,0.3167372881355932
AppetitveTaskReal,m90,11,60,15,39,56,108,25.06349832962736,27.77777777777778,34.146341463414636,0.48299319727891155
AppetitveTaskReal,m90,12,60,18,63,106,282,22.48809277153422,22.22222222222222,27.31958762886598,0.35942028985507246
AppetitveTaskReal,m90,13,60,17,140,174,882,12.875963467801371,10.828025477707007,16.477272727272727,0.18688845401174167
AppetitveTaskReal,m92,1,60,12,83,71,971,10.605296047772269,12.631578947368421,6.813819577735125,0.07874762808349146
AppetitveTaskReal,m92,2,60,7,41,12,142,19.806168647425014,14.583333333333334,7.792207792207792,0.10382513661202186
AppetitveTaskReal,m92,3,60,6,25,10,82,16.935483870967744,19.35483870967742,10.869565217391305,0.14953271028037382
AppetitveTaskReal,m92,4,60,7,54,56,288,7.999054516911661,11.475409836065573,16.27906976744186,0.18421052631578946
AppetitveTaskReal,m92,5,60,1,12,0,18,2.380952380952381,7.6923076923076925,0.0,0.03333333333333333
AppetitveTaskReal,m92,6,60,11,77,26,184,17.481183999537727,12.5,12.380952380952381,0.1417624521072797
AppetitveTaskReal,m92,7,60,26,85,129,643,27.702836476470928,23.423423423423422,16.70984455958549,0.2129120879120879
AppetitveTaskReal,m92,8,60,21,173,115,795,13.15369410630561,10.824742268041238,12.637362637362637,0.14049586776859505
AppetitveTaskReal,m92,9,60,16,49,141,337,26.625639470840706,24.615384615384617,29.497907949790793,0.4067357512953368
AppetitveTaskReal,m92,10,60,5,24,31,81,9.899749373433583,17.24137931034483,27.678571428571427,0.34285714285714286
AppetitveTaskReal,m92,11,60,14,58,140,649,19.139202290977078,19.444444444444443,17.74397972116603,0.21782178217821782
AppetitveTaskReal,m93,1,59,29,125,23,832,8.206374981997715,18.83116883116883,2.690058479532164,0.054336468129571575
AppetitveTaskReal,m93,2,60,15,69,135,483,15.65598939970096,17.857142857142858,21.844660194174757,0.2717391304347826
AppetitveTaskReal,m93,3,60,8,50,62,310,12.16017316017316,13.793103448275861,16.666666666666668,0.19444444444444445
AppetitveTaskReal,m93,4,60,5,30,50,236,10.112727987064991,14.285714285714286,17.482517482517483,0.20676691729323307
AppetitveTaskReal,m93,5,60,18,134,161,889,11.581863964529797,11.842105263157896,15.333333333333334,0.17497556207233628
AppetitveTaskReal,m93,6,60,13,65,120,470,15.005666547746488,16.666666666666668,20.338983050847457,0.2485981308411215
AppetitveTaskReal,m93,7,65,16,40,123,295,25.51926923250453,28.571428571428573,29.425837320574164,0.41492537313432837
AppetitveTaskReal,m93,8,60,12,76,104,532,12.357130886542652,13.636363636363637,16.352201257861637,0.19078947368421054
AppetitveTaskReal,m93,9,63,12,79,107,513,14.491352484606132,13.186813186813186,17.258064516129032,0.20101351351351351
AppetitveTaskReal,m93,10,60,9,69,100,428,11.446095194197392,11.538461538461538,18.939393939393938,0.2193158953722334
AppetitveTaskReal,m93,11,60,11,50,82,242,20.586251167133522,18.0327868852459,25.308641975308642,0.3184931506849315
AppetitveTaskReal,m93,12,60,8,32,48,154,19.5473403408186,20.0,23.762376237623762,0.3010752688172043
AppetitveTaskReal,m97,1,60,16,79,13,517,4.5888877797591885,16.842105263157894,2.452830188679245,0.04865771812080537
