task,mouse,session,date,n_trials,valid
generalization,m101,2,2025-12-30,60,yes
generalization,m101,3,2026-01-01,61,yes
generalization,m101,4,2026-01-05,61,yes
generalization,m102,1,2025-12-28,61,yes
generalization,m102,2,2025-12-30,60,yes
generalization,m102,3,2026-01-01,61,yes
generalization,m102,4,2026-01-05,61,yes
generalization,m103,1,2025-12-29,61,yes
generalization,m103,2,2025-12-31,61,yes
generalization,m103,3,2026-01-04,61,yes
generalization,m103,4,2026-01-05,62,yes
generalization,m104,1,2025-12-29,61,yes
generalization,m104,2,2025-12-31,61,yes
generalization,m104,3,2026-01-04,61,yes
generalization,m104,4,2026-01-05,61,yes
extinction,m90,1,2026-01-11,61,yes
extinction,m90,2,2026-01-12,61,yes
extinction,m92,1,2026-01-11,61,yes
extinction,m92,2,2026-01-12,61,yes
extinction,m93,1,2026-01-11,61,yes
extinction,m93,2,2026-01-12,61,yes
extinction,m97,1,2026-01-11,61,yes
extinction,m97,2,2026-01-12,61,yes
extinction,m98,1,2026-01-13,65,yes
extinction,m98,2,2026-01-14,0,no
extinction,m100,1,2026-01-11,61,yes
extinction,m100,2,2026-01-12,61,yes
extinction,m101,1,2026-01-12,61,yes
extinction,m101,2,2026-01-13,61,yes
extinction,m102,1,2026-01-11,61,yes
extinction,m102,2,2026-01-13,61,yes
extinction,m103,1,2026-01-12,61,yes
extinction,m103,2,2026-01-13,68,yes
extinction,m104,1,2026-01-12,61,yes
extinction,m104,2,2026-01-13,61,yes
