mouse,task,session_number,n_trials,date,valid
m102,Generalization,2,60,2025-12-30,yes
m102,Generalization,3,61,2026-01-01,yes
m102,Generalization,4,61,2026-01-05,yes
m102,Extinction,1,61,2026-01-11,yes
m102,Extinction,2,61,2026-01-13,yes
m103,Appetitive,1,61,2025-11-10,yes
m103,Appetitive,2,61,2025-11-12,yes
m103,Appetitive,3,61,2025-11-13,yes
m103,Appetitive,4,61,2025-11-16,yes
m103,Appetitive,5,61,2025-11-18,yes
m103,Appetitive,6,61,2025-11-19,yes
m103,Appetitive,7,61,2025-11-23,yes
m103,Appetitive,8,61,2025-11-25,yes
m103,Appetitive,9,61,2025-12-02,yes
m103,Appetitive,10,61,2025-12-07,yes
m103,Appetitive,11,61,2025-12-09,yes
m103,Appetitive,12,61,2025-12-16,yes
m103,Generalization,1,61,2025-12-29,yes
m103,Generalization,2,61,2025-12-31,yes
m103,Generalization,3,61,2026-01-04,yes
m103,Generalization,4,62,2026-01-05,yes
m103,Extinction,1,61,2026-01-12,yes
m103,Extinction,2,68,2026-01-13,yes
m104,Appetitive,1,60,2025-11-09,yes
m104,Appetitive,2,60,2025-11-10,yes
m104,Appetitive,3,60,2025-11-16,yes
m104,Appetitive,4,60,2025-11-18,yes
m104,Appetitive,5,60,2025-11-19,yes
m104,Appetitive,6,60,2025-11-23,yes
m104,Appetitive,7,60,2025-11-25,yes
m104,Appetitive,8,60,2025-12-02,yes
m104,Appetitive,9,60,2025-12-07,yes
m104,Appetitive,10,60,2025-12-09,yes
m104,Appetitive,11,60,2025-12-16,yes
m104,Appetitive,12,60,2025-12-17,yes
m104,Generalization,1,61,2025-12-29,yes
m104,Generalization,2,61,2025-12-31,yes
m104,Generalization,3,61,2026-01-04,yes
m104,Generalization,4,61,2026-01-05,yes
m104,Extinction,1,61,2026-01-12,yes
m104,Extinction,2,61,2026-01-13,yes
