task,mouse,session_ordinal,raw_session,hit_rate,accuracy,success_rate,competence,engagement_oncue,engagement_any,oncue_lick_rate,fa_rate,offcue,latency,n_trials
AppetitveTaskReal,m98,6,6,1.639,2.941,1.639,50.000,3.279,37.705,1.639,54.098,0.672,5.351,61.000
AppetitveTaskReal,m98,7,7,0.000,0.000,0.000,0.000,3.279,18.033,0.000,1.639,0.262,6.181,61.000
AppetitveTaskReal,m98,8,8,8.197,27.273,9.836,55.556,14.754,37.705,8.197,26.230,0.426,5.790,61.000
AppetitveTaskReal,m98,9,9,3.279,25.000,3.279,33.333,9.836,36.066,3.279,9.836,0.541,4.632,61.000
AppetitveTaskReal,m98,10,10,3.279,18.750,4.918,66.667,4.918,34.426,3.279,21.311,0.590,1.911,61.000
AppetitveTaskReal,m98,11,11,9.836,31.429,18.033,66.667,14.754,34.426,9.836,39.344,0.639,4.790,61.000
AppetitveTaskReal,m98,12,12,21.311,25.000,26.230,100.000,21.311,59.016,21.311,78.689,0.836,2.420,61.000
AppetitveTaskReal,m100,1,1,9.836,11.842,14.754,40.000,24.590,67.213,9.836,109.836,2.639,3.691,61.000
AppetitveTaskReal,m100,2,2,26.230,20.833,40.984,100.000,26.230,67.213,26.230,155.738,1.623,3.569,61.000
AppetitveTaskReal,m100,3,3,26.230,16.754,52.459,84.211,31.148,68.852,29.508,260.656,2.377,2.913,61.000
AppetitveTaskReal,m100,4,4,32.787,16.883,63.934,90.909,36.066,86.885,34.426,314.754,2.770,2.338,61.000
AppetitveTaskReal,m100,5,5,13.115,18.966,18.033,80.000,16.393,45.902,13.115,77.049,1.016,3.255,61.000
AppetitveTaskReal,m100,6,6,37.705,17.708,55.738,92.000,40.984,77.049,37.705,259.016,2.705,2.927,61.000
AppetitveTaskReal,m100,7,7,35.484,17.178,45.161,87.500,38.710,83.871,37.097,217.742,2.581,2.813,62.000
AppetitveTaskReal,m100,8,8,27.869,30.159,31.148,73.913,37.705,62.295,27.869,72.131,1.393,2.660,61.000
AppetitveTaskReal,m100,9,9,8.197,24.138,11.475,22.727,36.066,60.656,8.197,36.066,1.016,4.629,61.000
AppetitveTaskReal,m100,10,10,49.180,20.285,93.443,83.333,59.016,90.164,55.738,367.213,4.049,3.653,61.000
AppetitveTaskReal,m100,11,11,22.951,22.093,31.148,77.778,29.508,62.295,24.590,109.836,1.508,3.241,61.000
AppetitveTaskReal,m100,12,12,27.869,15.138,54.098,56.667,49.180,86.885,29.508,303.279,4.623,2.404,61.000
AppetitveTaskReal,m101,1,1,5.000,9.677,5.000,21.429,23.333,76.667,5.000,46.667,1.800,2.465,60.000
AppetitveTaskReal,m101,2,2,1.639,5.882,1.639,6.250,26.230,52.459,1.639,26.230,1.082,2.482,61.000
AppetitveTaskReal,m101,3,3,0.000,12.500,1.639,0.000,16.393,40.984,1.639,11.475,0.672,2.982,61.000
AppetitveTaskReal,m101,4,4,3.279,8.333,3.279,22.222,14.754,49.180,3.279,36.066,1.328,1.657,61.000
AppetitveTaskReal,m101,5,5,11.475,22.000,18.033,77.778,14.754,42.623,11.475,63.934,0.770,5.153,61.000
AppetitveTaskReal,m101,6,6,8.197,46.667,11.475,62.500,13.115,31.148,8.197,13.115,0.459,7.090,61.000
AppetitveTaskReal,m101,7,7,8.065,9.804,8.065,80.000,8.065,33.871,6.452,74.194,0.677,2.425,62.000
AppetitveTaskReal,m101,8,8,6.557,12.195,8.197,44.444,14.754,37.705,6.557,59.016,0.918,5.296,61.000
AppetitveTaskReal,m101,9,9,13.115,15.942,18.033,61.538,21.311,47.541,13.115,95.082,1.115,4.157,61.000
AppetitveTaskReal,m101,10,10,6.557,15.217,11.475,44.444,14.754,54.098,6.557,63.934,1.016,2.555,61.000
AppetitveTaskReal,m101,11,11,3.333,6.667,3.333,33.333,10.000,51.667,3.333,46.667,1.000,1.774,60.000
AppetitveTaskReal,m101,12,12,29.508,19.048,39.344,90.000,32.787,68.852,29.508,167.213,2.475,3.868,61.000
AppetitveTaskReal,m102,1,1,34.426,13.596,50.820,87.500,39.344,81.967,37.705,322.951,4.557,2.981,61.000
AppetitveTaskReal,m102,2,2,39.344,15.556,68.852,96.000,40.984,80.328,40.984,373.770,4.393,2.121,61.000
AppetitveTaskReal,m102,3,3,21.311,9.783,29.508,100.000,21.311,62.295,21.311,272.131,2.803,2.249,61.000
AppetitveTaskReal,m102,4,4,32.787,12.037,42.623,100.000,32.787,68.852,32.787,311.475,3.639,2.237,61.000
AppetitveTaskReal,m102,5,5,32.787,22.785,59.016,100.000,32.787,62.295,32.787,200.000,2.393,2.283,61.000
AppetitveTaskReal,m102,6,6,36.066,15.865,54.098,88.000,40.984,75.410,37.705,286.885,2.820,2.674,61.000
AppetitveTaskReal,m102,7,7,40.984,24.576,47.541,96.154,42.623,65.574,42.623,145.902,2.410,2.154,61.000
AppetitveTaskReal,m102,8,8,22.951,20.339,39.344,77.778,29.508,57.377,26.230,154.098,1.869,3.291,61.000
AppetitveTaskReal,m102,9,9,50.820,18.293,73.770,88.571,57.377,80.328,55.738,329.508,5.607,1.562,61.000
AppetitveTaskReal,m102,10,10,31.148,12.707,37.705,82.609,37.705,70.492,32.787,259.016,3.754,1.144,61.000
AppetitveTaskReal,m102,11,11,32.787,14.350,52.459,62.500,52.459,85.246,34.426,313.115,6.377,1.449,61.000
AppetitveTaskReal,m103,1,1,18.033,14.953,26.230,68.750,26.230,62.295,19.672,149.180,2.066,2.878,61.000
AppetitveTaskReal,m103,2,2,21.311,14.483,34.426,81.250,26.230,67.213,21.311,203.279,2.016,2.426,61.000
AppetitveTaskReal,m103,3,3,22.951,14.620,40.984,87.500,26.230,80.328,22.951,239.344,2.180,2.658,61.000
AppetitveTaskReal,m103,4,4,19.672,22.727,32.787,66.667,29.508,72.131,21.311,111.475,1.885,4.960,61.000
AppetitveTaskReal,m103,5,5,31.148,18.675,50.820,90.476,34.426,78.689,32.787,221.311,1.754,2.855,61.000
AppetitveTaskReal,m103,6,6,14.754,19.718,22.951,90.000,16.393,55.738,16.393,93.443,1.033,1.860,61.000
AppetitveTaskReal,m103,7,7,11.475,19.403,21.311,36.842,31.148,72.131,11.475,88.525,1.393,3.425,61.000
AppetitveTaskReal,m103,8,8,13.115,16.129,16.393,72.727,18.033,62.295,13.115,85.246,1.230,3.661,61.000
AppetitveTaskReal,m103,9,9,18.033,22.973,27.869,78.571,22.951,52.459,19.672,93.443,0.934,3.226,61.000
AppetitveTaskReal,m103,10,10,13.115,22.222,16.393,88.889,14.754,50.820,13.115,57.377,0.951,3.833,61.000
AppetitveTaskReal,m103,11,11,6.557,17.857,8.197,44.444,14.754,47.541,6.557,37.705,0.689,2.310,61.000
AppetitveTaskReal,m103,12,12,36.066,19.249,67.213,81.481,44.262,83.607,44.262,281.967,3.000,4.575,61.000
AppetitveTaskReal,m104,1,1,3.333,16.970,46.667,40.000,8.333,25.000,35.000,228.333,0.800,1.674,60.000
AppetitveTaskReal,m104,2,2,26.667,18.310,43.333,80.000,33.333,71.667,28.333,193.333,2.217,3.560,60.000
AppetitveTaskReal,m104,3,3,15.000,15.584,20.000,69.231,21.667,70.000,15.000,108.333,1.833,5.620,60.000
AppetitveTaskReal,m104,4,4,18.333,17.969,38.333,78.571,23.333,56.667,20.000,175.000,2.350,4.205,60.000
AppetitveTaskReal,m104,5,5,20.000,19.084,41.667,91.667,20.000,61.667,20.000,176.667,1.567,4.951,60.000
AppetitveTaskReal,m104,6,6,5.000,4.688,5.000,42.857,11.667,60.000,5.000,101.667,1.567,5.351,60.000
AppetitveTaskReal,m104,7,7,15.000,13.483,20.000,81.818,18.333,60.000,15.000,128.333,1.583,4.708,60.000
AppetitveTaskReal,m104,8,8,8.333,12.821,16.667,62.500,13.333,65.000,8.333,113.333,1.750,3.666,60.000
AppetitveTaskReal,m104,9,9,5.000,12.963,11.667,20.000,25.000,70.000,6.667,78.333,1.700,4.346,60.000
AppetitveTaskReal,m104,10,10,21.667,27.059,38.333,65.000,33.333,71.667,25.000,103.333,1.633,4.185,60.000
AppetitveTaskReal,m104,11,11,28.333,16.667,48.333,80.952,35.000,75.000,30.000,241.667,2.317,4.102,60.000
AppetitveTaskReal,m104,12,12,11.667,19.149,15.000,46.667,25.000,71.667,13.333,63.333,1.683,4.228,60.000
Generalization,m90,1,1,34.426,25.203,50.820,77.778,44.262,77.049,37.705,150.820,2.049,2.807,61.000
Generalization,m90,2,2,68.333,20.567,96.667,95.349,71.667,95.000,70.000,373.333,4.450,2.040,60.000
Generalization,m90,3,3,68.852,11.921,88.525,82.353,83.607,95.082,81.967,654.098,12.754,1.498,61.000
Generalization,m90,4,4,77.049,28.780,96.721,90.385,85.246,96.721,85.246,239.344,3.328,1.602,61.000
Generalization,m92,1,1,9.836,11.940,13.115,85.714,11.475,62.295,9.836,96.721,0.869,4.415,61.000
Generalization,m92,2,2,30.000,17.730,41.667,94.737,31.667,80.000,30.000,193.333,2.333,3.965,60.000
Generalization,m92,3,3,54.098,31.285,91.803,88.889,59.016,85.246,55.738,201.639,2.426,4.024,61.000
Generalization,m92,4,4,70.492,31.183,95.082,93.478,75.410,88.525,75.410,209.836,2.656,2.668,61.000
Generalization,m93,1,1,39.344,24.161,59.016,88.889,44.262,80.328,39.344,185.246,1.705,3.766,61.000
Generalization,m93,2,2,36.667,19.863,48.333,95.652,38.333,85.000,35.000,195.000,2.083,4.346,60.000
Generalization,m93,3,3,67.213,28.497,90.164,100.000,67.213,95.082,67.213,226.230,2.525,3.646,61.000
Generalization,m93,4,4,77.049,33.333,100.000,90.385,85.246,98.361,85.246,200.000,2.623,2.636,61.000
Generalization,m97,1,1,40.984,18.627,62.295,83.333,49.180,93.443,47.541,272.131,3.148,2.452,61.000
Generalization,m97,2,2,61.667,20.601,80.000,90.244,68.333,95.000,65.000,308.333,3.950,3.057,60.000
Generalization,m97,3,3,36.066,55.319,42.623,88.000,40.984,50.820,37.705,34.426,0.787,1.972,61.000
Generalization,m97,4,4,62.295,47.826,72.131,86.047,70.492,86.885,70.492,78.689,1.230,1.205,61.000
Generalization,m98,1,1,50.820,20.000,83.607,88.571,57.377,90.164,55.738,334.426,3.557,3.878,61.000
Generalization,m98,2,2,45.902,31.250,57.377,87.500,52.459,78.689,47.541,126.230,1.770,3.118,61.000
Generalization,m98,3,3,67.213,21.633,86.885,93.182,72.131,90.164,72.131,314.754,3.902,2.310,61.000
Generalization,m98,4,4,45.000,22.400,46.667,100.000,45.000,73.333,45.000,161.667,1.900,0.559,60.000
Generalization,m100,1,1,59.016,22.634,90.164,85.714,68.852,90.164,68.852,308.197,3.508,2.262,61.000
Generalization,m100,2,2,51.667,20.902,85.000,70.455,73.333,90.000,55.000,321.667,4.000,2.408,60.000
Generalization,m100,3,3,80.328,19.788,91.803,92.308,85.246,95.082,86.885,372.131,4.311,1.755,61.000
Generalization,m100,4,4,72.131,33.333,78.689,91.667,78.689,93.443,77.049,157.377,1.984,1.774,61.000
Generalization,m101,1,1,19.672,15.888,27.869,85.714,22.951,55.738,21.311,147.541,1.623,3.118,61.000
Generalization,m101,2,2,38.333,20.561,73.333,82.143,46.667,81.667,46.667,283.333,3.950,2.583,60.000
Generalization,m101,3,3,60.656,23.810,98.361,90.244,67.213,83.607,65.574,314.754,3.443,1.009,61.000
Generalization,m101,4,4,50.820,23.037,72.131,91.176,55.738,80.328,54.098,240.984,3.279,1.714,61.000
Generalization,m102,1,1,59.016,25.904,70.492,85.714,68.852,85.246,62.295,201.639,3.803,2.402,61.000
Generalization,m102,2,2,83.333,13.002,113.333,94.340,88.333,93.333,86.667,758.333,12.883,1.429,60.000
Generalization,m102,3,3,91.803,11.675,113.115,100.000,91.803,96.721,91.803,855.738,13.557,0.564,61.000
Generalization,m102,4,4,90.164,63.158,98.361,93.220,96.721,96.721,95.082,57.377,2.180,1.502,61.000
Generalization,m103,1,1,62.295,17.035,88.525,95.000,65.574,88.525,65.574,431.148,4.574,1.627,61.000
Generalization,m103,2,2,68.852,23.377,88.525,85.714,80.328,95.082,80.328,290.164,3.934,2.615,61.000
Generalization,m103,3,3,59.016,43.750,68.852,85.714,68.852,88.525,67.213,88.525,1.541,3.339,61.000
Generalization,m103,4,4,53.226,39.130,72.581,89.189,59.677,85.484,61.290,112.903,2.242,3.824,62.000
Generalization,m104,1,1,63.934,30.476,104.918,95.122,67.213,85.246,65.574,239.344,3.164,1.905,61.000
Generalization,m104,2,2,65.574,22.707,85.246,88.889,73.770,96.721,68.852,290.164,3.803,1.570,61.000
Generalization,m104,3,3,45.902,37.975,49.180,93.333,49.180,77.049,47.541,80.328,1.262,2.337,61.000
Generalization,m104,4,4,60.656,33.333,73.770,88.095,68.852,95.082,67.213,147.541,3.246,2.365,61.000
ExtinctionLED,m90,1,1,0.000,72.549,60.656,0.000,70.492,78.689,59.016,22.951,0.820,0.808,61.000
ExtinctionLED,m90,2,2,0.000,86.111,50.820,0.000,72.131,85.246,50.820,8.197,0.656,1.612,61.000
ExtinctionLED,m92,1,1,0.000,43.836,52.459,0.000,42.623,67.213,39.344,67.213,0.623,4.937,61.000
ExtinctionLED,m92,2,2,0.000,42.500,27.869,0.000,26.230,57.377,26.230,37.705,0.590,4.942,61.000
ExtinctionLED,m93,1,1,0.000,64.286,59.016,0.000,57.377,70.492,57.377,32.787,0.475,3.289,61.000
ExtinctionLED,m93,2,2,0.000,75.862,36.066,0.000,40.984,50.820,36.066,11.475,0.328,3.050,61.000
ExtinctionLED,m97,1,1,0.000,66.667,45.902,0.000,57.377,68.852,44.262,22.951,0.639,3.059,61.000
ExtinctionLED,m97,2,2,0.000,45.614,42.623,0.000,44.262,63.934,39.344,50.820,0.770,1.627,61.000
ExtinctionLED,m98,1,1,0.000,54.839,26.154,0.000,36.923,49.231,27.692,21.538,0.554,0.885,65.000
ExtinctionLED,m100,1,1,0.000,77.143,44.262,0.000,57.377,65.574,42.623,13.115,0.393,2.053,61.000
ExtinctionLED,m100,2,2,0.000,76.316,47.541,0.000,55.738,63.934,45.902,14.754,0.393,2.648,61.000
ExtinctionLED,m101,1,1,0.000,36.842,22.951,0.000,19.672,29.508,16.393,39.344,0.607,3.003,61.000
ExtinctionLED,m101,2,2,0.000,21.429,14.754,0.000,26.230,44.262,11.475,54.098,2.180,4.991,61.000
ExtinctionLED,m102,1,1,0.000,82.759,39.344,0.000,54.098,62.295,37.705,8.197,0.902,2.244,61.000
ExtinctionLED,m102,2,2,0.000,47.368,29.508,0.000,55.738,60.656,29.508,32.787,1.475,1.783,61.000
ExtinctionLED,m103,1,1,0.000,43.902,29.508,0.000,31.148,50.820,26.230,37.705,0.754,3.204,61.000
ExtinctionLED,m103,2,2,0.000,83.784,45.588,0.000,45.588,60.294,39.706,8.824,0.985,4.508,68.000
ExtinctionLED,m104,1,1,0.000,50.000,31.148,0.000,31.148,67.213,29.508,31.148,0.951,2.588,61.000
ExtinctionLED,m104,2,2,0.000,59.259,26.230,0.000,29.508,39.344,26.230,18.033,0.361,2.407,61.000
