task,mouse,n_trials,pokes_first_half,pokes_second_half,licks_first_half,licks_second_half
AppetitveTaskReal,m90,711,0.5668073136427566,0.7229254571026722,2.8607594936708862,4.075949367088608
AppetitveTaskReal,m92,612,0.28431372549019607,0.369281045751634,1.4738562091503267,2.052287581699346
AppetitveTaskReal,m93,653,0.333843797856049,0.40428790199081166,1.6692189892802451,2.398162327718224
AppetitveTaskReal,m97,451,1.0155210643015522,1.3636363636363638,4.600886917960089,6.933481152993348
AppetitveTaskReal,m98,675,0.16740740740740742,0.19999999999999998,0.7762962962962963,1.1422222222222222
AppetitveTaskReal,m100,222,1.0360360360360361,1.2657657657657657,3.468468468468469,3.7657657657657664
AppetitveTaskReal,m101,673,0.337295690936107,0.3967310549777117,0.9093610698365527,1.1961367013372957
AppetitveTaskReal,m102,641,1.6630265210608426,1.7566302652106085,5.5507020280811235,5.93603744149766
AppetitveTaskReal,m103,670,0.5626865671641791,0.6074626865671642,2.343283582089552,3.125373134328358
AppetitveTaskReal,m104,663,0.7481146304675717,0.5686274509803921,2.542986425339366,1.9728506787330318
